@relation 'featureTesting_1-weka.filters.unsupervised.attribute.NumericToNominal-R1-4,9-weka.filters.unsupervised.attribute.NominalToString-C1-4,9'

@attribute geid string
@attribute gseason string
@attribute gweek string
@attribute htid string
@attribute hthwr numeric
@attribute htowr numeric
@attribute hthtor numeric
@attribute hthtop numeric
@attribute atid string
@attribute atawr numeric
@attribute atowr numeric
@attribute atator numeric
@attribute atatop numeric
@attribute gw {h,a}

@data
2015110807,2015,9,24,0.125,0.25,2,0.487847,27,0.5,0.5,1.375,0.514514,a
2015110808,2015,9,30,0.5,0.375,1.25,0.448939,21,0.625,0.5625,0.875,0.523507,h
2015110809,2015,9,6,0.625,0.625,2.25,0.493943,13,0.75,0.875,1.875,0.496713,h
2015110810,2015,9,25,0.25,0.5,1.625,0.533394,26,0.5,0.5625,1.25,0.447196,a
2015110900,2015,9,16,0.375,0.3125,1.75,0.493889,17,0.25,0.25,1.375,0.496055,a
2015111200,2015,10,12,0.5,0.5,1.75,0.511979,9,0.5,0.5625,1.375,0.494549,a
2015111500,2015,10,28,0.625,0.3125,1.625,0.549479,23,0.5,0.4375,1.75,0.507639,h
2015111501,2015,10,19,0.875,0.6875,0.75,0.517326,18,0.25,0.4375,1.75,0.46434,a
2015111502,2015,10,24,0.25,0.3125,1.875,0.487292,25,0.625,0.4375,1.25,0.55735,h
2015111503,2015,10,8,0,0.125,2,0.478646,22,0.75,0.8125,1.25,0.564896,a
2015111504,2015,10,32,0.5,0.375,1.625,0.436575,17,0.375,0.3125,1.375,0.510812,a
2015111505,2015,10,26,0.5,0.5,2.25,0.430035,10,0.5,0.5,1.125,0.47934,a
2015111506,2015,10,1,0.5,0.4375,0.75,0.486,7,0.125,0.3125,1.375,0.456439,a
2015111507,2015,10,4,0.75,0.6875,1.25,0.464361,3,0.125,0.1875,2,0.511187,h
2015111508,2015,10,15,0.625,0.4375,1.125,0.511597,20,0.375,0.625,1,0.501285,a
2015111509,2015,10,27,0.5,0.5,0.75,0.498819,11,0.875,0.875,1.25,0.491215,a
2015111510,2015,10,13,0.875,0.8125,1.75,0.516597,14,0.25,0.4375,0.75,0.520938,a
2015111511,2015,10,31,0.75,0.6875,1.25,0.505,29,0.625,0.6875,2.25,0.512257,a
2015111600,2015,10,2,0.625,0.75,1.75,0.495451,5,0.5,0.5625,1.25,0.490868,a
2015111900,2015,11,7,0.625,0.375,1.25,0.460521,8,0.25,0.125,2,0.515802,h
2015112200,2015,11,17,0.125,0.25,1.75,0.493194,13,0.75,0.8125,1.75,0.485116,a
2015112201,2015,11,18,0.625,0.4375,1.75,0.530751,15,0.25,0.4375,1.875,0.491146,h
2015112202,2015,11,21,0.5,0.5625,2.25,0.543834,6,0.625,0.625,2.375,0.481856,a
2015112203,2015,11,5,0.75,0.625,1.25,0.54941,12,0.5,0.5,1.125,0.526639,h
2015112204,2015,11,26,0.375,0.4375,2.75,0.434583,24,0.375,0.3125,1.875,0.461831,a
2015112205,2015,11,20,0.875,0.625,1.125,0.479333,19,0.625,0.75,0.625,0.514236,a
2015112206,2015,11,22,1,0.875,1.375,0.549047,28,0,0.3125,2.125,0.470342,h
2015112207,2015,11,10,0.375,0.4375,1.5,0.474757,25,0.625,0.4375,1.375,0.586412,a
2015112208,2015,11,1,0.5,0.4375,1,0.49034,32,0.25,0.375,1.75,0.479236,h
2015112209,2015,11,29,0.75,0.6875,1.25,0.504965,2,0.75,0.6875,1.5,0.537951,h
2015112210,2015,11,31,0.75,0.6875,0.875,0.514271,30,0.125,0.3125,1.125,0.483264,h
2015112211,2015,11,16,0.25,0.25,1.625,0.484271,14,0.375,0.5,0.75,0.528333,a
2015112300,2015,11,11,0.875,0.875,0.5,0.507292,9,0.5,0.5625,1.5,0.505556,h
2015112600,2015,12,18,0.625,0.4375,1.625,0.538598,26,0.375,0.375,1.25,0.431363,h
2015112601,2015,12,25,0.25,0.4375,1.75,0.525547,22,0.875,0.9375,0.625,0.558958,a
2015112602,2015,12,19,0.75,0.6875,1,0.501111,17,0.5,0.3125,1,0.512652,a
2015112900,2015,12,28,0.75,0.375,1.375,0.567847,27,0.5,0.5,1.375,0.492326,h
2015112901,2015,12,21,0.375,0.5,2.5,0.521924,20,0.5,0.6875,1,0.526493,a
2015112902,2015,12,2,0.75,0.75,1.375,0.507812,32,0.25,0.375,1.75,0.481388,h
2015112903,2015,12,5,0.75,0.625,1.25,0.555903,23,0.375,0.375,1.875,0.502639,h
2015112904,2015,12,6,0.625,0.625,1.875,0.490471,24,0.375,0.3125,1.5,0.456449,h
2015112905,2015,12,12,0.5,0.5,1.75,0.513472,10,0.375,0.375,1.25,0.482083,h
2015112906,2015,12,7,0.5,0.3125,1.375,0.467292,16,0.375,0.3125,1.75,0.533387,a
