@relation 'featureTraining_1-weka.filters.unsupervised.attribute.NumericToNominal-R1-4,9-weka.filters.unsupervised.attribute.NominalToString-C1-4,9'

@attribute geid string
@attribute gseason string
@attribute gweek string
@attribute htid string
@attribute hthwr numeric
@attribute htowr numeric
@attribute hthtor numeric
@attribute hthtop numeric
@attribute atid string
@attribute atawr numeric
@attribute atowr numeric
@attribute atator numeric
@attribute atatop numeric
@attribute gw {h,a}

@data
2010120506,2010,13,19,0.875,0.6875,1.25,0.521819,30,0.25,0.4375,1.625,0.494653,h
2010120507,2010,13,24,0.375,0.5625,1.625,0.497986,21,0.75,0.8125,1.25,0.524799,a
2010120508,2010,13,2,0.375,0.25,1.75,0.532118,23,0.75,0.625,1.5,0.516076,a
2010120509,2010,13,16,0.75,0.625,1.875,0.51691,15,0.375,0.4375,1.75,0.529444,a
2010120510,2010,13,6,0.625,0.5,2,0.49123,25,0.625,0.4375,1.125,0.520854,a
2010120511,2010,13,29,0.375,0.3125,2.25,0.44875,32,0.25,0.375,1.875,0.506522,a
2010120512,2010,13,31,0.5,0.375,2.25,0.437326,22,0.125,0.25,1.625,0.449931,h
2010120513,2010,13,1,0.875,0.6875,0.75,0.515838,4,0.875,0.75,1.625,0.527717,a
2010120600,2010,13,11,1,0.8125,0.875,0.501101,12,0.875,0.75,1.25,0.541182,h
2010120900,2010,14,8,0.25,0.375,2.75,0.418872,6,0.375,0.5,1.75,0.478021,a
2010121200,2010,14,17,0.625,0.6875,2.25,0.468892,11,0.625,0.8125,1,0.481528,a
2010121201,2010,14,9,0.375,0.3125,1.125,0.460373,3,0.375,0.5,1.625,0.47125,h
2010121202,2010,14,4,0.75,0.8125,0.875,0.522587,2,0.125,0.25,2.625,0.484896,h
2010121203,2010,14,7,0.625,0.5,1.625,0.524167,15,0.25,0.375,1.75,0.526632,h
2010121204,2010,14,28,0.25,0.375,1.125,0.459625,24,0.75,0.5625,1.375,0.509086,a
2010121205,2010,14,18,0.375,0.1875,1.25,0.497792,19,0.5,0.6875,1.375,0.528953,h
2010121207,2010,14,22,0.25,0.1875,2.375,0.469063,21,0.75,0.8125,1.375,0.535701,a
2010121208,2010,14,23,0.625,0.6875,2.125,0.538286,32,0.25,0.375,1.625,0.496175,h
2010121209,2010,14,30,0.625,0.4375,1.5,0.492471,31,0.25,0.375,2.375,0.471354,h
2010121210,2010,14,12,0.625,0.75,1.125,0.546111,10,0.75,0.4375,2,0.522736,a
2010121211,2010,14,29,0.375,0.3125,2.25,0.440764,13,0.125,0.1875,1.875,0.465278,h
2010121212,2010,14,16,0.75,0.625,1.875,0.541771,14,0.375,0.5625,1.125,0.507491,h
2010121213,2010,14,25,0.25,0.4375,2.375,0.536632,26,0.625,0.6875,1.125,0.499583,a
2010121300,2010,14,5,0.5,0.5,1.25,0.503187,1,0.625,0.75,1.625,0.509913,a
2010121301,2010,14,20,0.625,0.375,2.25,0.531963,27,0.625,0.625,2.5,0.541354,a
2010121600,2010,15,16,0.75,0.625,1.75,0.562049,30,0.25,0.4375,1.25,0.481875,h
2010121900,2010,15,32,0.5,0.375,1.25,0.519965,14,0.375,0.5625,1,0.517457,a
2010121901,2010,15,10,0.125,0.4375,2,0.498576,9,0.25,0.3125,2.5,0.484565,a
2010121902,2010,15,2,0.375,0.25,1.375,0.530556,3,0.25,0.4375,1.25,0.445278,h
2010121903,2010,15,6,0.625,0.5,1.625,0.493487,7,0.375,0.5,2.25,0.533507,h
2010121904,2010,15,8,0.375,0.4375,2.5,0.432692,5,0.375,0.4375,1.125,0.479235,h
2010121905,2010,15,25,0.25,0.4375,2.25,0.526146,28,0.375,0.3125,2.25,0.47519,h
2010121906,2010,15,27,0.625,0.625,2.125,0.547396,26,0.75,0.75,1.375,0.513958,a
2010121907,2010,15,22,0.25,0.1875,2.5,0.482188,29,0.25,0.3125,2.625,0.428835,h
2010121908,2010,15,24,0.375,0.5625,1.25,0.505552,18,0.125,0.25,2.625,0.501079,a
2010121909,2010,15,1,0.875,0.75,0.625,0.519449,23,0.625,0.625,1.75,0.498958,h
2010121910,2010,15,31,0.5,0.375,2,0.430347,21,0.75,0.8125,1.125,0.535562,a
2010121911,2010,15,4,0.625,0.75,0.875,0.514114,12,0.875,0.75,1.125,0.529932,a
2010121912,2010,15,15,0.625,0.4375,2,0.50737,13,0.125,0.1875,1.875,0.458542,h
2010121913,2010,15,11,1,0.8125,0.5,0.469747,19,0.375,0.625,1.5,0.535932,h
2010122000,2010,15,20,0.5,0.3125,2.875,0.514533,17,0.875,0.75,1.375,0.513194,a
2010122300,2010,16,4,0.625,0.75,0.875,0.530677,22,0.125,0.1875,1.875,0.447535,h
2010122500,2010,16,29,0.5,0.375,1.875,0.439444,25,0.5,0.375,1.5,0.524291,h
2010122600,2010,16,17,0.625,0.75,2.25,0.467604,12,0.75,0.6875,1.375,0.531495,h
2010122601,2010,16,9,0.25,0.25,2,0.439401,11,0.75,0.875,0.75,0.49,a
2010122602,2010,16,3,0.5,0.375,2.125,0.501407,1,0.625,0.75,1.75,0.518247,a
2010122603,2010,16,14,0.875,0.625,0.625,0.517479,8,0.5,0.4375,1.25,0.431563,h
2010122605,2010,16,24,0.5,0.625,1,0.520032,31,0.25,0.375,1.875,0.472951,h
2010122606,2010,16,32,0.625,0.4375,1.375,0.533021,30,0.125,0.375,1.5,0.468819,h
2010122607,2010,16,10,0.125,0.4375,2,0.51816,18,0.25,0.3125,1.875,0.487295,a
2010122608,2010,16,7,0.625,0.5,1.75,0.51585,28,0.5,0.375,2.375,0.466875,a
2010122609,2010,16,13,0.375,0.25,1.625,0.495417,5,0.25,0.375,1.125,0.469929,h
2010122610,2010,16,15,0.625,0.4375,1.75,0.502752,6,0.5,0.5625,1.625,0.49375,a
2010122611,2010,16,19,0.875,0.625,1,0.525256,27,0.5,0.5625,3.25,0.517882,h
2010122612,2010,16,2,0.375,0.25,1.375,0.522812,16,0.375,0.5625,1.875,0.549375,h
2010122700,2010,16,21,0.875,0.8125,0.875,0.535243,23,0.75,0.6875,1.625,0.513993,a
2010122800,2010,16,26,0.625,0.6875,1.625,0.527431,20,0.25,0.375,1.875,0.501212,a
2011010200,2010,17,11,1,0.875,0.5,0.477872,10,0.75,0.4375,1.75,0.504605,h
2011010201,2010,17,12,0.625,0.6875,1.25,0.53434,9,0.25,0.25,2.875,0.482134,h
2011010202,2010,17,1,0.875,0.75,0.75,0.504866,2,0.125,0.25,2.875,0.51809,h
2011010203,2010,17,3,0.375,0.3125,2.375,0.488491,4,0.875,0.75,1.375,0.529974,a
2011010204,2010,17,5,0.5,0.375,1.125,0.498257,7,0.375,0.5,2.375,0.541354,h
2011010205,2010,17,6,0.75,0.625,1.5,0.497271,8,0.375,0.375,1.125,0.429306,h
2011010206,2010,17,14,0.875,0.625,0.75,0.519458,15,0.375,0.5,1.5,0.534618,a
2011010207,2010,17,26,0.5,0.625,1.75,0.527674,25,0.5,0.375,1.5,0.512069,a
2011010208,2010,17,28,0.25,0.375,1.5,0.46525,27,0.625,0.625,3.125,0.537049,a
2011010209,2010,17,18,0.5,0.375,1.25,0.497966,20,0.25,0.375,1.75,0.492674,h
2011010210,2010,17,19,0.875,0.625,1.25,0.519215,17,0.75,0.6875,1.625,0.516215,h
2011010211,2010,17,21,0.875,0.8125,1,0.5375,22,0,0.125,2.125,0.431354,h
2011010212,2010,17,23,0.625,0.6875,2.375,0.545497,24,0.75,0.625,1.375,0.501875,a
2011010213,2010,17,13,0.375,0.25,1.5,0.479965,16,0.375,0.5625,1.875,0.539479,a
2011010214,2010,17,30,0.625,0.375,1.375,0.485318,29,0.125,0.3125,2.5,0.435259,h
2011010215,2010,17,31,0.625,0.4375,2,0.445174,32,0.25,0.4375,1.25,0.494994,h
2011090800,2011,1,19,0.875,0.625,1.25,0.523312,23,0.625,0.625,1.75,0.502396,h
2011091100,2011,1,1,0.875,0.75,0.75,0.509831,4,0.75,0.6875,2.125,0.517092,h
2011091101,2011,1,3,0.375,0.3125,2.25,0.494393,2,0.25,0.3125,2.625,0.515069,a
2011091102,2011,1,5,0.5,0.375,1.375,0.510444,6,0.5,0.625,1.75,0.481562,h
