"geid","gseason","gweek","htabbr","hthwr","htowr","htcwr","hthtor","hthtop","atabbr","atawr","atowr","atcwr","atator","atatop","gw"
"2015101808",2015,6,"SEA",0.875,0.6875,0.5643564462661743,1.125,0.5340971946716309,"CAR",0.625,0.625,0.46000000834465027,1.375,0.5529513955116272,"a"
"2015101809",2015,6,"GB",1,0.875,0.7128713130950928,0.75,0.5243402719497681,"SD",0.25,0.375,0.5643564462661743,2.5,0.5159216523170471,"h"
"2015101810",2015,6,"SF",0.5,0.375,0.5841584205627441,1.625,0.4754672348499298,"BAL",0.375,0.5,0.6138613820075989,1.875,0.48504915833473206,"h"
"2015101811",2015,6,"IND",0.625,0.625,0.6138613820075989,2.25,0.504568338394165,"NE",0.875,0.875,0.7699999809265137,1,0.48857638239860535,"a"
"2015101900",2015,6,"PHI",0.625,0.5625,0.5445544719696045,2.375,0.4327777922153473,"NYG",0.375,0.375,0.5148515105247498,1.5,0.500034749507904,"h"
"2015102200",2015,7,"SF",0.5,0.375,0.5882353186607361,1.375,0.45355749130249023,"SEA",0.5,0.6875,0.5588235259056091,1,0.5641546249389648,"a"
"2015102500",2015,7,"JAC",0.5,0.25,0.29411765933036804,1.375,0.4606249928474426,"BUF",0.5,0.5,0.3921568691730499,1.375,0.48298612236976624,"h"
"2015102501",2015,7,"STL",0.625,0.5,0.31683167815208435,1.25,0.44872790575027466,"CLE",0.25,0.3125,0.3137255012989044,2.375,0.5175068378448486,"h"
"2015102502",2015,7,"MIA",0.5,0.5,0.4455445408821106,1.375,0.5059027671813965,"HOU",0.5,0.5,0.4901960790157318,1.125,0.5050347447395325,"h"
"2015102503",2015,7,"NE",0.875,0.875,0.7722772359848022,0.375,0.4972916543483734,"NYJ",0.5,0.4375,0.49504950642585754,0.875,0.5365005731582642,"h"
"2015102504",2015,7,"KC",0.625,0.4375,0.4313725531101227,1.375,0.4586111009120941,"PIT",0.625,0.6875,0.6274510025978088,1.375,0.5228819251060486,"h"
"2015102505",2015,7,"WAS",0.5,0.3125,0.3333333432674408,2,0.5507639050483704,"TB",0.25,0.1875,0.31683167815208435,2.125,0.4499652683734894,"h"
"2015102506",2015,7,"DET",0.625,0.4375,0.4019607901573181,1.875,0.5214452743530273,"MIN",0.25,0.5625,0.4554455578327179,1.125,0.5064715147018433,"a"
"2015102507",2015,7,"IND",0.5,0.5625,0.6078431606292725,2.375,0.46685999631881714,"NO",0.625,0.4375,0.6274510025978088,1.75,0.5257512331008911,"a"
"2015102508",2015,7,"TEN",0,0.0625,0.3861386179924011,1.875,0.47052082419395447,"ATL",0.75,0.625,0.5882353186607361,0.875,0.5186458230018616,"a"
"2015102509",2015,7,"SD",0.5,0.375,0.5588235259056091,1.625,0.5112847089767456,"OAK",0.25,0.375,0.3366336524486542,1.875,0.4874652922153473,"a"
"2015102510",2015,7,"NYG",0.5,0.4375,0.5098039507865906,1.25,0.49177083373069763,"DAL",0.75,0.5625,0.5445544719696045,1.25,0.5604051351547241,"h"
"2015102511",2015,7,"CAR",0.625,0.625,0.4653465449810028,1.625,0.5169223546981812,"PHI",0.375,0.5,0.5490196347236633,1.75,0.4538888931274414,"h"
"2015102600",2015,7,"ARI",0.75,0.625,0.5196078419685364,1.125,0.5145139098167419,"BAL",0.375,0.5,0.6078431606292725,1.875,0.4888686239719391,"h"
"2015102900",2015,8,"NE",0.875,0.875,0.7745097875595093,0.375,0.4970833361148834,"MIA",0.375,0.4375,0.45098039507865906,1.375,0.4720138907432556,"h"
"2015110100",2015,8,"KC",0.625,0.4375,0.43689319491386414,1.375,0.47072917222976685,"DET",0.125,0.375,0.3980582654476166,1.75,0.46145832538604736,"h"
"2015110101",2015,8,"BAL",0.625,0.5,0.6019417643547058,0.625,0.49381259083747864,"SD",0.25,0.375,0.553398072719574,2.25,0.5177271962165833,"h"
"2015110102",2015,8,"PIT",0.625,0.625,0.6213592290878296,1.125,0.476999431848526,"CIN",0.875,0.8125,0.5882353186607361,1.5,0.554444432258606,"a"
"2015110103",2015,8,"HOU",0.625,0.5625,0.48543688654899597,1.25,0.523194432258606,"TEN",0.125,0.0625,0.38235294818878174,2.25,0.5132638812065125,"h"
"2015110104",2015,8,"CHI",0.25,0.25,0.5,1.625,0.49954861402511597,"MIN",0.375,0.625,0.46078431606292725,1,0.49588125944137573,"a"
"2015110105",2015,8,"ATL",0.5,0.625,0.5922330021858215,2,0.5480702519416809,"TB",0.375,0.25,0.3137255012989044,1.875,0.44082361459732056,"a"
"2015110106",2015,8,"NO",0.375,0.5,0.6310679316520691,1.625,0.5043518543243408,"NYG",0.375,0.4375,0.5145630836486816,1.375,0.4976041615009308,"h"
"2015110107",2015,8,"STL",0.625,0.5,0.3235294222831726,1.375,0.4578251242637634,"SF",0.25,0.375,0.582524299621582,1.25,0.4972006678581238,"h"
"2015110108",2015,8,"CLE",0.25,0.25,0.3106796145439148,1.875,0.4482171833515167,"ARI",0.5,0.625,0.5242718458175659,2,0.4824305474758148,"a"
"2015110109",2015,8,"OAK",0.625,0.4375,0.343137264251709,1.25,0.5129513740539551,"NYJ",0.5,0.4375,0.4901960790157318,1,0.5318824648857117,"h"
"2015110110",2015,8,"DAL",0.25,0.5,0.5392156839370728,1.75,0.5121122002601624,"SEA",0.625,0.75,0.5631067752838135,1.125,0.550994873046875,"a"
"2015110111",2015,8,"DEN",1,0.875,0.6274510025978088,1.125,0.5195833444595337,"GB",0.625,0.8125,0.7156862616539001,0.75,0.5296180844306946,"h"
"2015110200",2015,8,"CAR",0.75,0.6875,0.47058823704719543,1.75,0.512774646282196,"IND",0.625,0.5625,0.6019417643547058,2,0.48268938064575195,"h"
"2015110500",2015,9,"CIN",0.75,0.8125,0.5922330021858215,1.75,0.49815914034843445,"CLE",0.125,0.1875,0.3076923191547394,2,0.5036180019378662,"h"
"2015110800",2015,9,"MIN",0.875,0.625,0.4660194218158722,1.125,0.4764513671398163,"STL",0.25,0.4375,0.3300970792770386,1.625,0.47826334834098816,"h"
"2015110801",2015,9,"CAR",0.875,0.75,0.4757281541824341,1.625,0.5280397534370422,"GB",0.5,0.75,0.708737850189209,1,0.5100347399711609,"h"
"2015110802",2015,9,"NE",0.875,0.875,0.7766990065574646,0.5,0.5129861235618591,"WAS",0,0.25,0.33980581164360046,1.625,0.4863491952419281,"h"
"2015110803",2015,9,"NO",0.375,0.5,0.6346153616905212,1.75,0.5032021999359131,"TEN",0.25,0.125,0.3786407709121704,2.125,0.5108718872070312,"a"
"2015110804",2015,9,"BUF",0.625,0.5625,0.3883495032787323,1.125,0.5134027600288391,"MIA",0.375,0.4375,0.446601927280426,1.25,0.47274306416511536,"h"
"2015110805",2015,9,"NYJ",0.5,0.5,0.48543688654899597,2,0.5235416889190674,"JAC",0,0.25,0.3009708821773529,1.375,0.44963306188583374,"h"
"2015110806",2015,9,"PIT",0.625,0.625,0.6153846383094788,1.25,0.4783188998699188,"OAK",0.25,0.4375,0.34951457381248474,2,0.49378472566604614,"h"
"2015110807",2015,9,"TB",0.125,0.25,0.3203883469104767,2,0.4878472089767456,"NYG",0.5,0.5,0.5096153616905212,1.375,0.5145139098167419,"a"
"2015110808",2015,9,"SF",0.5,0.375,0.5769230723381042,1.25,0.4489394426345825,"ATL",0.625,0.5625,0.5865384340286255,0.875,0.5235069394111633,"h"
"2015110809",2015,9,"IND",0.625,0.625,0.5961538553237915,2.25,0.49394333362579346,"DEN",0.75,0.875,0.6310679316520691,1.875,0.4967133700847626,"h"
"2015110810",2015,9,"DAL",0.25,0.5,0.5339806079864502,1.625,0.5333941578865051,"PHI",0.5,0.5625,0.5436893105506897,1.25,0.4471961259841919,"a"
"2015110900",2015,9,"SD",0.375,0.3125,0.5480769276618958,1.75,0.49388888478279114,"CHI",0.25,0.25,0.49514561891555786,1.375,0.4960547089576721,"a"
"2015111200",2015,10,"NYJ",0.5,0.5,0.49038460850715637,1.75,0.5119791626930237,"BUF",0.5,0.5625,0.39423078298568726,1.375,0.49454861879348755,"a"
"2015111500",2015,10,"WAS",0.625,0.3125,0.3365384638309479,1.625,0.5494791865348816,"NO",0.5,0.4375,0.6285714507102966,1.75,0.5076388716697693,"h"
"2015111501",2015,10,"GB",0.875,0.6875,0.7019230723381042,0.75,0.5173264145851135,"DET",0.25,0.4375,0.39423078298568726,1.75,0.4643402695655823,"a"
"2015111502",2015,10,"TB",0.25,0.3125,0.3173076808452606,1.875,0.4872916638851166,"DAL",0.625,0.4375,0.5288461446762085,1.25,0.5573495626449585,"h"
"2015111503",2015,10,"TEN",0,0.125,0.38461539149284363,2,0.47864583134651184,"CAR",0.75,0.8125,0.48076921701431274,1.25,0.5648958086967468,"a"
"2015111504",2015,10,"STL",0.5,0.375,0.32692307233810425,1.625,0.43657511472702026,"CHI",0.375,0.3125,0.5,1.375,0.5108116269111633,"a"
"2015111505",2015,10,"PHI",0.5,0.5,0.5480769276618958,2.25,0.43003472685813904,"MIA",0.5,0.5,0.4423076808452606,1.125,0.4793402850627899,"a"
